1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Fitness	Iterations (Average from 30 samples)
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	24015,8913082794	17780,7750414154	29695,2487844489	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	26175,1822436785	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	18858,0072224072	28769,8163368684	19512,3593644945	19682,4505161495	0	22082,2399034385
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	24015,8913082794	17780,7750414154	28739,8399207917	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	26175,1822436785	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	18858,0072224072	27818,0608043622	19512,3593644945	19682,4505161495	1	22018,6677568997
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	24015,8913082794	17780,7750414154	28179,7503834086	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	26175,1822436785	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	18858,0072224072	27301,0998657766	19512,3593644945	19682,4505161495	2	21982,7660743675
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	24015,8913082794	17780,7750414154	27862,4371526288	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	26175,1822436785	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	18858,0072224072	27110,8432725681	19512,3593644945	19682,4505161495	3	21965,8470802345
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	24015,8913082794	17780,7750414154	27634,3551192056	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	26175,1822436785	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	18858,0072224072	27013,1453424446	19512,3593644945	19682,4505161495	4	21954,9877481163
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	23022,0057048914	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	25967,1441468699	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26932,1802770954	19512,3593644945	19682,4505161495	5	21817,7891674836
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22547,9589358236	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	25967,1441468699	24078,7631315745	23257,4217680166	18684,3191452604	33050,7488482406	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26796,2885406287	19512,3593644945	19682,4505161495	6	21797,4578839657
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22547,9589358236	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	25967,1441468699	24078,7631315745	23257,4217680166	18684,3191452604	31792,1273254439	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26777,1870618724	19512,3593644945	19682,4505161495	7	21754,8671172473
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22547,9589358236	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	25967,1441468699	24078,7631315745	23257,4217680166	18684,3191452604	31245,9294041027	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26777,1870618724	19512,3593644945	19682,4505161495	8	21736,6605198693
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22155,8629880072	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22547,9589358236	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21299,7123214906	20735,7280645411	25967,1441468699	24078,7631315745	23257,4217680166	18684,3191452604	31159,685274716	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26777,1870618724	19512,3593644945	19682,4505161495	9	21733,7857155564
